Date,Longitude,Latitude,Altitude
11/6/2018 8:30,-0.18075,51.512184,25.1
11/6/2018 8:31,-0.180423,51.511518,22.2
11/6/2018 8:32,-0.180346,51.510942,22.8
11/6/2018 8:33,-0.179977,51.510209,23.2
11/6/2018 8:34,-0.179616,51.509484,23.2
11/6/2018 8:35,-0.179297,51.508713,23.2
11/6/2018 8:36,-0.178975,51.507991,23.2
11/6/2018 8:37,-0.178672,51.507223,23.2
11/6/2018 8:38,-0.178317,51.506492,22.1
11/6/2018 8:39,-0.178213,51.505708,22.4
11/6/2018 8:40,-0.178094,51.504931,23.2
11/6/2018 8:41,-0.177985,51.504165,22.2
11/6/2018 8:42,-0.177885,51.503427,22.2
11/6/2018 8:43,-0.177654,51.502653,21.7
11/6/2018 8:44,-0.177349,51.502063,19.6
11/6/2018 8:45,-0.177135,51.501501,18.6
11/6/2018 8:46,-0.176699,51.500867,17.3
11/6/2018 8:47,-0.175768,51.500374,15.6
